order_id,date,product_id,product_name,quantity,unit_price,line_total
O20251028000,2025-10-28,P001,Bariis,4,0.5,2.0
O20251028000,2025-10-28,P004,Biyo,4,2.0,8.0
O20251028001,2025-10-28,P003,Caano,1,1.5,1.5
O20251028001,2025-10-28,P001,Bariis,1,0.8,0.8
O20251028002,2025-10-28,P001,Bariis,2,2.0,4.0
O20251028002,2025-10-28,P001,Bariis,2,3.0,6.0
O20251028003,2025-10-28,P004,Biyo,2,1.5,3.0
O20251028004,2025-10-28,P004,Biyo,1,2.0,2.0
O20251028004,2025-10-28,P004,Biyo,2,0.5,1.0
O20251028004,2025-10-28,P004,Biyo,3,1.5,4.5
O20251028005,2025-10-28,P002,Sonkor,2,1.5,3.0
O20251028005,2025-10-28,P003,Caano,1,0.5,0.5
O20251028006,2025-10-28,P004,Biyo,3,3.0,9.0
O20251028006,2025-10-28,P003,Caano,1,1.5,1.5
O20251028006,2025-10-28,P005,Saliid,2,1.5,3.0
O20251028007,2025-10-28,P002,Sonkor,4,3.0,12.0
O20251028008,2025-10-28,P003,Caano,3,1.5,4.5
O20251028008,2025-10-28,P002,Sonkor,2,2.0,4.0
O20251028009,2025-10-28,P004,Biyo,3,0.5,1.5
O20251028009,2025-10-28,P003,Caano,4,1.5,6.0
O20251028010,2025-10-28,P004,Biyo,2,3.0,6.0
O20251028010,2025-10-28,P002,Sonkor,3,3.0,9.0
O20251028010,2025-10-28,P004,Biyo,1,3.0,3.0
O20251028011,2025-10-28,P004,Biyo,1,3.0,3.0
O20251028012,2025-10-28,P001,Bariis,3,3.0,9.0
O20251028013,2025-10-28,P001,Bariis,2,2.0,4.0
O20251028013,2025-10-28,P004,Biyo,1,1.5,1.5
O20251028013,2025-10-28,P002,Sonkor,3,3.0,9.0
O20251028014,2025-10-28,P001,Bariis,2,0.5,1.0
O20251028014,2025-10-28,P003,Caano,3,1.5,4.5
O20251028014,2025-10-28,P002,Sonkor,4,1.5,6.0
O20251028015,2025-10-28,P003,Caano,4,0.8,3.2
O20251028015,2025-10-28,P004,Biyo,3,2.0,6.0
O20251028015,2025-10-28,P003,Caano,3,0.5,1.5
O20251028016,2025-10-28,P004,Biyo,4,0.8,3.2
O20251028016,2025-10-28,P004,Biyo,1,2.0,2.0
O20251028016,2025-10-28,P003,Caano,4,2.0,8.0
O20251028017,2025-10-28,P002,Sonkor,1,0.8,0.8
O20251028017,2025-10-28,P004,Biyo,1,0.5,0.5
O20251028017,2025-10-28,P003,Caano,4,1.5,6.0
O20251028018,2025-10-28,P001,Bariis,3,0.5,1.5
O20251028019,2025-10-28,P003,Caano,4,1.5,6.0
O20251028019,2025-10-28,P005,Saliid,1,1.5,1.5
O20251028019,2025-10-28,P003,Caano,4,0.8,3.2
O20251028020,2025-10-28,P001,Bariis,1,1.5,1.5
O20251028020,2025-10-28,P004,Biyo,4,1.5,6.0
O20251028021,2025-10-28,P003,Caano,1,3.0,3.0
O20251028021,2025-10-28,P004,Biyo,1,1.5,1.5
O20251028021,2025-10-28,P005,Saliid,4,0.5,2.0
O20251028022,2025-10-28,P002,Sonkor,2,0.5,1.0
O20251028023,2025-10-28,P001,Bariis,1,2.0,2.0
O20251028024,2025-10-28,P005,Saliid,2,0.5,1.0
O20251028025,2025-10-28,P001,Bariis,1,3.0,3.0
O20251028025,2025-10-28,P004,Biyo,4,2.0,8.0
O20251028026,2025-10-28,P001,Bariis,1,2.0,2.0
O20251028026,2025-10-28,P003,Caano,1,0.5,0.5
O20251028026,2025-10-28,P002,Sonkor,2,3.0,6.0
O20251028027,2025-10-28,P001,Bariis,4,0.8,3.2
O20251028028,2025-10-28,P005,Saliid,3,0.5,1.5
O20251028028,2025-10-28,P004,Biyo,1,0.5,0.5
O20251028028,2025-10-28,P001,Bariis,1,0.8,0.8
O20251028029,2025-10-28,P004,Biyo,2,3.0,6.0
O20251028029,2025-10-28,P001,Bariis,3,0.5,1.5
O20251028029,2025-10-28,P004,Biyo,2,0.5,1.0
O20251028030,2025-10-28,P005,Saliid,2,0.5,1.0
O20251028030,2025-10-28,P004,Biyo,4,2.0,8.0
O20251028030,2025-10-28,P002,Sonkor,2,0.5,1.0
O20251028031,2025-10-28,P003,Caano,3,3.0,9.0
O20251028031,2025-10-28,P004,Biyo,4,2.0,8.0
O20251028031,2025-10-28,P003,Caano,4,2.0,8.0
